,topic,usage situation,type of business,review date,overall rating,review,number of accounts used,effects after introducing the service,rate ease of use,rate helpfulness,rate customizability,rate functional satisfaction,rate service stability
114,優れ物のＣＲＭツール,using,Retail/distribution/trading companies,2021-04-08,5,優れている点、良かった点は、項目や設定、を管理画面で自由に変えられる点。ダッシュボードで様々なデータを視覚化できる点。Marketoと連携でより多くの機能が使える点。,2-10,エクセルを使って顧客情報を管理していましたが、対応ができなくなってきていました。こちらのツールを導入してからは管理がより簡単に出来るようになりました。,5.0,5.0,5.0,5.0,5.0
115,色々なサービスとＡＰＩ連携できる,currently not using,Food and Leisure Service,2021-03-05,5,SalesforceへいろいろなからAPIでデータ連携できるのでSalesforce上で必要な情報の一元管理が出来る点が非常に便利です。またカスタマイズ性も高い点も評価できます。,>51-100,色々なシステムにアクセスしてシステム操作する必要がありましたがSalesforceを導入後にはSalesforce上で操作が完結できるようになりました。,5.0,5.0,5.0,5.0,5.0
116,カスタムの投資を怠ると損をする,using,Food and Leisure Service,2021-03-05,1,利用する会社のサービス・費用・どこに顧客がいるかによると思います。カスタムをする場合、自社でシステムエンジニアの工数確保ができない場合は運用はむずかしい。社外の専門の会社にだすが費用と運用・保守もそれなりに費用がかかる。,>31-50,顧客管理、顧客ごとの費用をわかるようになったが、それだけ。使い勝手が非常にわかるかった。自社商品にもよりますが。リピート商品を売る販売ルートが費用な会社はいいと思います。,2.0,1.0,2.0,3.0,2.0
117,営業で必要になってきたツール,currently not using,IT related Service,2021-02-19,4,営業チームのゴールを明確化することができ、重要事項を誰もが一目で把握できるようにする非常に必要なツールです。ツール内でメールの送信を行うことができ、Gmailと連携することも可能です。,2-10,お客様の経営課題に合わせた提案をタイミング良く行いたい方におすすめ。慣れるまで少し時間がかかりますが、一応慣れたら人生ラクになります。,3.0,4.0,3.0,4.0,4.0
118,使いこなすまで難しい,currently not using,Consulting Service,2021-02-06,3,"前職の会社が導入していたので利用していました。
・マーケティング・営業まで情報を一元管理
・業務スタイルに合わせて柔軟にカスタマイズできる
・アプリケーション作成すればすぐ使用できる
がSalesforce Sales Cloudのポイントだと思います。

・",2-10,営業に必要な顧客情報・営業情報・社員情報の確認・共有が可能また他システムとの連携ができるところもいい点だと思います。,4.0,4.0,4.0,4.0,4.0
119,営業には必須のツール,using,IT related Service,2021-02-02,4,案件や見込み、進捗など簡単に整理することができる為、営業には非常に必要な機能ばかりなのでとても良いツールです。ただし、複雑な機能も多いので 使いこなせる人はもっと便利だと思う。,>31-50,営業の進捗がひとめでわかる為、全体での共有がしやすくなった。営業に必要な機能が備わっている為、とても良い。,4.0,4.0,4.0,4.0,5.0
120,必要な機能を選んで使用できる,using,IT related Service,2021-01-24,4,仕事の営業の活動を記録しています。自分の中での見込みや進捗の管理などが断然にスムーズになりました。ネット環境があればいつでも情報を入力することが可能なのも後回しにせずに済むので効率的です。,>1,コロナ禍によって直接会って営業することが難しい中、オンラインで営業活動ができるツールはメリットでしかない。,4.0,4.0,4.0,4.0,4.0
121,機能がかなり充実している分、使う側も覚悟が必要,currently not using,Consulting Service,2021-01-13,3,"顧客管理や営業のアクション管理を行う上で抜け漏れの無いサービスという印象。
その一方で、機能が非常に充実しているあまり、安易に導入すると運用に乗せることができずに宝の持ち腐れになってしまうケースも少なくはないと感じる。",>1,Salesforceの導入以前に発生していた必要なアクションの漏れなどが、Salesforceの導入で、案件のステータス・担当者・ネクストアクション等がチーム全体で可視化されることで、減った経験があります。,4.0,5.0,5.0,5.0,4.0
122,なんでもできちゃうシステムです,using,IT related Service,2021-01-08,4,"機能については文句なしで☆5です。
柔軟に自分でカスタマイズできるし、標準的なオブジェクトは設定されているしでとても便利です。
多少難しいことであっても、自力で調べれば解決できるので、コード書かなくても従来のシステムの比にならないものが出来上がります。
☆4にしたのは、ランニングコストが馬鹿にならないので。。",501-1000,スクラッチで開発したシステムは、ビジネスの変更に対応するのに開発予算と時間がかかっていたので、ここがクリアになったのが一番良かったです。,5.0,5.0,5.0,5.0,5.0
123,ビジネスのプラットホーム,using,Retail/distribution/trading companies,2021-01-05,5,必要な案件、見込み客、活動履歴、既存顧客からの問い合わせの情報が関連付けて保存がされていて、必要なデータに楽にアクセスすることができるようになっていて営業には必須のツールです。,>1,顧客管理をExcelやスプレッドシードなどで管理していましたがSalesforce Sales Cloudを導入することで一元管理できる様になった。,3.0,3.0,3.0,3.0,3.0
124,世界一のCRMであることは確かだが、難しすぎて全然使いきれず,currently not using,Manufacturer/manufacturing system,2020-12-24,3,素晴らしいサービスであることは確か。営業～導入後のフォローまで抜け目がなく、他社とは比べ物にならないレベルの高さ。特に営業の質が高く、受けてみるだけでも価値あり。だが、私たちは使いこなせなかった。,2-10,顧客管理の重要性に気づけ、意識と行動が変わったただけでも導入した価値はあった。全ての面談が半永続的な社内資産になっていく。,2.0,3.0,5.0,5.0,5.0
125,導入の目的・運用が重要,using,Food and Leisure Service,2020-12-12,3,同サービスを活かすことができれば営業効率が格段に上がる可能性を感じるものの、現時点で私の組織ではそのレベルに至っていないく単なる情報の蓄積ツールとなっているため。,>201-300,"現在、改善中のため、効果は不明。
売上予測など今まで属人化していた点を数値で表せるようになったことは○。",2.0,2.0,2.0,2.0,5.0
126,柔軟なカスタマイズができる。一度入るとやめられないツール,using,IT related Service,2020-12-11,5,"CRMを検討するのであればまずセールスフォースを検討すべきだと思います。
他ツールとの連携や開発することでさらに便利に使えるので使いこなせる人材がいればおすすめです。",>11-30,顧客リストの管理のみならず、リード獲得時の通知連携やプロセスビルダーでの自動化ができることで業務効率が圧倒的に上がりました。,5.0,5.0,5.0,5.0,5.0
127,業種にとらわれず利用することができる,using,IT related Service,2020-12-09,4,顧客管理・案件管理、スケジュール管理・営業活動の進捗管理 （To-do管理含む）・各種レポート作成など非常に必要な機能が備わっているので導入するメリットばかりだと思われます。,>1,さまざまなアプローチによって顧客管理や営業支援をスムーズに実現を可能にしてくれるシステムになっているので導入するべきだと思います。,4.0,4.0,4.0,4.0,4.0
128,フローが明確になり、情報共有が楽になる,using,Consulting Service,2020-12-04,4,"非常に使いやすかった。営業のフローが分かりやすく、次のアクションがとりやすい。
あえて言うのであれば使い方をマスターするまで比較的時間がかかることと、
自分で学習する必要がある。",301-500,"次のアクションがとりやすい。またチーム内のメンバーの課題がわかりやすく表示できた。そのためミーティング時になにを話すべきか理解できた。
チーム内での共有が楽になった",4.0,4.0,4.0,4.0,4.0
130,営業の進捗がひと目でわかる,using,IT related Service,2020-11-30,5,"エクセル等で煩雑だった営業指標管理がダッシュボードの活用でひと目でわかる。
マーケからセールスまで一気通貫で数字を見ることができ、管理者側の工数が格段に減る。",>51-100,"複数部署横断して使っているが、誰がいつどのようなアクションを起こしたかひと目でわかる。
また、同じ組織の方がだれでどういったリレーションなあるかもひと目でわかる。
他部署と横断で取引する場合などハレーションがなくなる。",3.0,5.0,5.0,4.0,5.0
131,ダッシュボード機能を使いこなせると最高です！,currently not using,IT related Service,2020-11-30,5,"ダッシュボードを使いこなすことで、営業進捗やそれぞれの部署の現在の状況を一目で把握できます。
また、自分が見たいものを自分でカスタマイズできるので1人1人に必要なものが見れるようになります。",>51-100,"営業1人1人の営業進捗やどのクライアントに今月なにをしたか(メール送ったなど)が見れます。
そのため上司が対応の必要なクライアントを気づけたり、より鮮明な営業角度を知ることができました。",4.0,4.0,5.0,4.0,4.0
132,営業活動を可視化できるツール,using,Consulting Service,2020-11-29,4,初めて使う人でもわかりやすく、ITスキルがない人でも訓練をすればマスターできるシステム。営業を管理する側は数字も追える上に顧客データの管理のも使用できるので、営業にはマストアイテム。,>1,以前は顧客データや営業データの管理をスプレッドシートで行っていたが、現状はこのサービスを導入している。スプレットシートだとどうしてもデータが重くなったりデータ紛失にも繋がりかねないが、このサービスにより管理も徹底され、業務効率が格段にアップした。,4.0,4.0,4.0,4.0,5.0
133,非常に秀逸な営業管理ツール,using,IT related Service,2020-11-28,5,"Salesforceを導入したことで営業活動が大幅に効率化された。

前提となるシステム・オペレーション設計や活用の実行度を上げるための文化形成がセットでなければうまく機能しないが、逆にやり切れば非常に大きな力になってくれる。",>11-30,社内で内製で使用していた営業管理ツールでは、各リードや商談のパイプライン管理がしづらかったり、情報蓄積の観点が統一されていないことで機会損失が多かったが、セールスフォース導入後はほとんどの機能をセールスフォース内で完結させることができ、情報も適切な形で蓄積しながらパイプライン管理が行えるようになった。,5.0,5.0,5.0,5.0,5.0
134,アカウントの進捗が見やすい,currently not using,IT related Service,2020-11-28,4,"ログの入力やタスクの管理が非常にシンプルでわかりやすかったです。またログについては１つの画面で一覧で見ることができたので非常に見やすかったと思います。
また担当者間のやりとりも非常にスムーズに行えるツールだと思いました。",>1000,"サービス導入により、アカウントのセールスプロセスの進捗が非常にわかりやすくなった。
またタスクの管理が非常にシンプルでわかりやすかったので、タスクの漏れが防げるようになった。",4.0,4.0,3.0,3.0,4.0
135,先方との商談情報やメールでのやり取りが一目で分かる,using,IT related Service,2020-11-28,5,引継ぎや顧客の状況確認をする際に、セールスフォースに顧客との商談内容や、先方担当者名、弊社担当者名、メールのやり取りなどが残って記録されているため、共有が楽で、他部署とも連携が取りやすい。掘り起こしの際も参考にしている。,>1,以前は担当者変更にて担当者間の引継ぎで、上手く引き継がれていないことなどもあったが、セールスフォースに重要な情報はまとまっているので、引継ぎや状況の共有が便利になった。,4.0,5.0,5.0,5.0,5.0
136,品質が高い！,using,Mass Media/Advertising/Design/Game/Entertainment,2020-11-28,5,導入して使い始めて感じたのが、UIが非常にシンプルになっていて直感的で分かりやすくなっていると思います。カスタマイズすることも可能なので日々の仕事の案件進捗管理で圧倒的に便利に使用ができます。,>1,一人一人の顧客とのコミュニケーションをとっていく上で、タスク管理の機能などを利用して現在の進行状況の管理が把握できるので助かっています。,5.0,5.0,5.0,5.0,5.0
137,営業情報の一元管理に,using,IT related Service,2020-11-28,4,"部署をまたいだ情報の連携・共有が可能。
またコロナ禍でリモート体制になってからは勤怠管理も行なっており、
UIシンプルで分かりやすく、操作自体も簡単なのでストレスがない。",>51-100,"他部署との情報連携が簡単になった。
また、必要な情報・項目を集約しておくことでレポート化、分析もできるので、今後の為にも必要なツール。",4.0,5.0,4.0,4.0,5.0
138,導入・運用設計が大事なツール,using,IT related Service,2020-11-27,4,導入・運用設計を初期段階でしっかりしておけば、営業/マーケ組織にとって管理や戦略立てに役立つツール。しかし、とりあえずで使ってみるぞと導入すると、あとで改修が大変なので注意が必要。,>1,営業組織全体の進捗管理、メンバーの個別の成果や行動量の見える化をかを可能にしてくれるツール。また顧客情報などの登録によって、営業リストの掘り起こしなど、戦略設計にも役立つツール。,4.0,4.0,5.0,4.0,4.0
139,効率的な案件共有の実現,currently not using,IT related Service,2020-11-27,4,前職では同時に20社以上とお取引をしていました。その中で、商談・提案内容の共有をセールスフォースで行うことで、社内の情報伝達負荷が減り、顧客対応に時間を割くことができるようになったため。,>101-200,社内・海外部署との顧客情報の共有がスムース且つ確実に行えるようになり、ミスコミュニケーションが減った。更に、顧客とのやり取りの状況が可視化されたため、自身はもとよりチームメンバーの状況に応じて柔軟にたち振る舞えるようになった。,3.0,5.0,4.0,3.0,2.0
140,勤怠管理特化,using,Real Estate/Construction/Equipment,2020-11-27,4,現在も会社で利用しております。形態のアプリと連動することにより、今の李モートワーク下での勤怠管理がかなりスムーズにストレスなく行えております。現在機能面・操作性共に不満はないため5点としております。,>1,勤怠の管理もさることながら、自身の当月の業務内容を一覧で見ることができるので、どの案件のどのフェーズに時間がかかっていているのか。など業務の生産性を上げるきっかけになっていると思います。,4.0,5.0,5.0,5.0,5.0
141,タスク管理,using,Real Estate/Construction/Equipment,2020-11-27,3,日々の勤怠管理データ管理を利用できることは非常に助かる.位置確認やコンプライアンス的な管理もできている。現状でここまでできていることで非常に満足している。今後も継続利用をしたい,>1,メリット勤怠管理を行える。打刻漏れの軽減。月ごとの働き方、過去の働き方を目安に当月の働き方予測を立てることが出来る,3.0,3.0,3.0,3.0,3.0
142,一元管理が可能,using,IT related Service,2020-11-26,5,レポートやダッシュボードの活用により、マーケ・インサイドセールス・営業・カスタマーサクセスと情報の漏れなく共有することができ、Pardotやフォーカスとの連携もできることから、一元管理が簡単にできるようになったため。,>51-100,インサイドセールスとして営業と重複することなくコンタクトできたり、リードナーチャリングが効率よくできるようになった。,4.0,5.0,4.0,4.0,3.0
143,社内情報共有はこれで！,using,Manufacturer/manufacturing system,2020-11-23,4,"社内掲示板、顧客情報、月次報告、営業日報、案件管理と営業活動のほとんどをセールスフォースのシステム内で行っており、情報が集中していて使いやすいから。スマホからの入力もスムーズに出来るため
外勤先でもストレス無く入力が出来る。",>11-30,各営業ごとの活動進捗が見やすくなった。営業だけでなく、他部署との情報交換もしやすくなった。案件管理をすることで、案件ごとの活動の抜け、もれが少なくなってきた。,3.0,5.0,5.0,4.0,4.0
144,営業でもらった名刺管理に,currently not using,IT related Service,2020-11-23,5,"以前の職場で、営業の名刺を登録するために使用していました。
後から顧客の検索をする時に便利で、全社で情報共有がスムーズにいくため、ビジネスツールとしては必須でした。",>1,"顧客の情報管理・整理が簡単になりました。
アポイントメントや、現在のステータス状況の確認も容易で、タスク管理しやすくなりました。",4.0,5.0,4.0,5.0,5.0
145,世界で選ばれている営業支援システム,currently not using,IT related Service,2020-11-23,4,営業支援システムの中では導入事例が多くて知名度も十分です。必要な機能は全て揃っていると言っても過言ではないです。他のサービスとの連携も取りやすいので導入する価値ありです。,>1,Salesforce Sales Cloudで顧客満足度を上げて、ビジネスチャンスを逃さずに掴み取ることができます。サービスの安定供給はもちろん、きめ細かい連絡やサポートも可能です。,4.0,5.0,4.0,5.0,4.0
146,売上管理とセールス分析に活用,using,Consulting Service,2020-11-21,3,年間のセールス管理に活用するため導入。どのような案件でどれくらいの売り上げと利益が積みあがったのかを入力して管理している。ゆくゆくはビジネスインテジェンスを行うためのデータソースとして利用していくことを想定している。,>1,まずは、売上管理ができるようになった。直近では予実管理として使い、予算達成のための見えるかに使いたい。ゆくゆくは、社内の強み弱みなどの現状分析などでの活躍を期待したい。,4.0,4.0,3.0,4.0,3.0
147,タスク管理,using,Finance/Insurance,2020-11-21,4,案件管理において文句なしの使いやすさ。進捗状況が一元管理でき、汎用性も非常に高い。チャット等の機能は利用することはなく、他サービスを利用していた。その点は改善の余地あり。,301-500,以前は個別ごとの案件管理をしており、案件の全体感を掴むことが難しかった。導入によ同僚の案件も含めて可視化が可能となり大幅に作業効率が改善された。,4.0,5.0,3.0,4.0,3.0
148,シンプルでわかりやすい,using,IT related Service,2020-11-21,4,"ユーザとして使用しているが、日々の勤怠打刻及び各申請、毎月末の上長への承認においても、簡単で使いやすい。
簡潔な操作、わかりやすいボタン名称なので、いい意味で無駄な機能がないと感じる。",>1,以前はExcelでの月毎の勤怠管理、タイムカードでの日次の勤怠管理と一元化されていなかった。本ツールを使用することで、ユーザ視点では月末の事務処理が簡単になった。,3.0,4.0,3.0,3.0,4.0
149,自社カスタマイズ性能に特化しMAツールへの展開が分かりやすい,using,Consulting Service,2020-11-20,4,元々管理していた自社の管理方法からのsalesforthへのカスタマイズがしやすかったです。また、他ＭＡツールとの連携もイメージしやすく取り入れやすかったです。,>1,今まで複数のデータを手作業で入力していたものがオートメーション化され、大幅に他の業務への時間へあてる事が出来ました。おかげさまで、利益も上がってきています。,3.0,3.0,5.0,4.0,4.0
150,最高の顧客管理、CRMツール,currently not using,IT related Service,2020-11-19,4,以前働いていた企業で利用していました、約7年ほど前に利用しましたがその当時としても既に、利用していて不便を感じない完成されたユーザビリティだったと記憶しています。,>1,営業マンから機能拡大などの提案を受けたことがあります、これくらいのコスト投下でこれくらいの費用削減が期待できますという提案でした。単純なロジックではありましたが意思決定者となる社長に説明するにはわかりやすい資料でした。おそらく営業マンが徹底的に顧客視点で提案しているからだと思います。,3.0,3.0,3.0,3.0,3.0
151,企業情報集約・商談情報集約の管理システム,using,IT related Service,2020-11-19,5,取引先の企業情報の集約、また商談情報の集約とそれぞれを管理できる場所として、非常にわかりやすく見えやすい設計となっているプラットフォームと言える。またダッシュボードや商談専用ページなど、様々なニーズに合った形で都度カスタマイズが可能で、非常に役立つ設計になっている。,>101-200,各商談の進捗状況・フェーズ管理などが一目でわかるようになり、共有の場所として、かつ上長が管理する場所として非常に役立った。まだ取引先の部署や担当者、また組織体制や決算月のメモを一元管理できるので、情報に立ち返る場所として使い勝手がいい。,5.0,5.0,5.0,5.0,4.0
152,営業に関するデータがすべて可視化！！,using,IT related Service,2020-11-19,5,他のCRMは使ったことないのですが、カスタマイズ性が高く営業活動の「みたいデータ」がすべて取得することができます！スプレッドシートとも連携が可能なので、細かいデータまで見れるので新たな施策もデータをもと意思決定ができ、まさにデータドリブンな組織になっています。,>51-100,使い方に慣れるまで（データや履歴入力が徹底されるまで）は時間がかかるものの、オペレーションに組み込むことができれば顧客情報・売上管理が容易にできるようになります。当初はエクセル・スプレッドシートの３重管理でしたが、今はこのCRMのみで運用しています。,4.0,5.0,5.0,5.0,5.0
153,部署内を超えた案件管理が簡単に,currently not using,IT related Service,2020-11-19,4,"案件管理においてなくてはならない存在。機能が多岐にわたり、使いこなせればかなり便利だと思う。
ただ機能が充実しすぎているので、導入する際は専任の詳しい人を置いて初期設定をしっかりする＆いる機能いらない機能を見極めることが大事だと思う。使いこなせれば企業としての体力はかなり上がる。",>51-100,"エクセル管理していた時に頻発していた、誰かが書式を壊した・・・などの事案はこれで解決した。
今どのメンバーがどういった状況なのかが管理しやすく、営業における次の一手を考える際にも非常に参考になった。",4.0,5.0,5.0,4.0,5.0
154,引き合いからの顧客管理と商談管理がメインのクラウドサービス,using,IT related Service,2020-11-19,4,"業務分析がうまくいって機能がうまく業務に合うようにある程度最適化できれば、使いやすいです。
中に存在するデータの検索を駆使しながら利用しますが、検索性は高いと感じます。

難点があるとすれば、シングルページアプリケーションで表示負荷が高く、
表示がややもっさりと感じられます。",2-10,顧客がシステムを導入するにあたり顧客情報や商談状況を管理するための可視化が実現でき、組織内での顧客管理や商談進捗管理が容易となった。,3.0,4.0,4.0,4.0,4.0
156,タスク管理に利用,using,Manufacturer/manufacturing system,2020-11-18,4,それぞれが管理していた情報をタイムリーに共有できるため管理が楽になりました。進捗状況が一目で分かります。また、部署内だけでなく他部署との情報共有にも利用しています。,>1,過去の記録を確認できるため、今までメールの中から情報を探していた時間や引き継ぎの時間が短縮されました。用途に合わせてカスタマイズすることもできるので、使いやすいです。,5.0,4.0,4.0,5.0,4.0
157,最初の設計がとてもだいじ,using,IT related Service,2020-11-18,4,"営業管理・支援・顧客管理をする上で欠かせない存在だと思います。
未来につながらない実績に、入力する価値はほぼなく、一定規模を迎えた事業においてはExcel管理はそれに該当すると考えています。

日々の商談状況や売上情報の蓄積による、「予測を行えることが当製品の真価」だと感じています。",>51-100,"顧客・商談管理ができる様になったのはもちろんですが、商談が発生してから請求が立つまでの部門間連携にも便利です。弊社のなかではAPI連携により、フェーズ変更の際にはslack通知を飛ばして商談のバトンを渡す役目も果たす存在です。


一方で、
たとえば、EXCEL管理から脱したい、という 一部分の目的だけ果たすことを目的として導入開始すると、あるべき構造の設計などが不十分になりますので、利活用しづらいデータが生産されるだけになってしまいます。

非常に多用な機能がありますので、まずは 専任担当を設けて設計をしてから導入することをおすすめします。",4.0,4.0,5.0,4.0,5.0
158,簡単に勤怠を管理,using,IT related Service,2020-11-17,5,"システムや情報管理が苦手な私でも、簡単に勤怠の管理ができました。
残業の申請や、休暇の申請も細かく設定＆申請することができるので
勤怠管理にストレスを感じることがなくなりました。",>11-30,"UIがわかりやすく、タスク一覧が把握しやすいため、勤怠に関するミスが減りました。
また申請のフローが細かく設定できるため、各部署の勤怠管理が簡単になりました。",5.0,5.0,5.0,4.0,5.0
159,案件管理の重要性,using,IT related Service,2020-11-13,3,Salesforceを導入することにより、様々な数値の可視化に役立った。サービス導入後のフォローも手厚く、回数に限りはあるがユーザー向けに使い方を説明していただく場を提供してくれた。,>31-50,Salesforceを導入することで、売上目標達成に向けた案件管理を行うことができるようになった。課内、部内で案件の進捗状況を共有することで、課題事項のサポートやフォローができるようになり、案件獲得につながった。,2.0,4.0,5.0,4.0,4.0
160,チームやメンバーの進捗状況がひと目で分かる,currently not using,IT related Service,2020-11-11,5,チームの進捗状況や自身の活動状況を可視化することができ、何に課題があり、どういう打ち手を講じれば良いかをダッシュボードを見ながらコミュニケーションを取ることができます。,>1000,前職の際に利用していたのですが、導入する以前はExcelやスプレッドシートを活用しながら管理していたものが、SFを入れたことでスピーディーかつ正確にデータを管理することができるようになり、状況把握と今後どんな策を講じていけば良いかがクリアになりました。,5.0,5.0,5.0,5.0,5.0
161,個別の商談進捗や顧客情報が集約できる。,using,IT related Service,2020-11-11,4,営業個人で抱えてしまいがちな商談進捗や顧客情報が1箇所に集約でき、チームで閲覧できるため、営業活動が効率化できるなと感じます。また、架電リストなど組み方次第ではさまざまなタスクリストを作成でき、エクスポートのフォーマットもカスタマイズできます。インサイドセールス的な動きしているのですが、大変活用しています。,>101-200,営業個人で抱えてしまい、ブラックボックス化していた商談進捗、顧客情報を見えるかできた。アタックリストを簡単に抽出でき、営業活動が効率的になった。,4.0,4.0,4.0,4.0,4.0
162,業績管理を一元化,using,Mass Media/Advertising/Design/Game/Entertainment,2020-11-11,3,業績管理はいままでエクセルで部署ごとに管理していた。セールスフォースを導入することでクラウド上でタイムリーに業績の進捗管理が可能になった。業績管理以外にもアプリをつくれることは便利。,>201-300,これまで業績管理は部署ごとにエクセルで管理をしていたため全体の把握が困難であった。同じファイルを複数の人がアクセスすることで不具合も生じることが少なくなかった。セールスフォースを利用することでその問題が解決できた。,3.0,4.0,4.0,4.0,5.0
163,クライアントからの信頼感が得やすい,using,Mass Media/Advertising/Design/Game/Entertainment,2020-11-11,4,"クライアントのアクセス解析やホームページ・LP・広告流入などの状況を把握することに便利である。
また、カスタム性も多く、クライアントと情報共有を行う際にも、便利である。",2-10,"クライアントと、共通の画面で課題抽出、今後の機能として良い点、悪い点を管理できることから
クライアントからの信頼感を得やすい。",3.0,4.0,3.0,2.0,4.0
164,営業活動の効率化やノウハウの共有をしたかったが使いにくい,currently not using,Mass Media/Advertising/Design/Game/Entertainment,2020-11-11,2,みんながデータを入力してくれなく、業務が増えた感じがして、負担だけが大きかった。売上の成果がすぐに出たわけではなく時間がかかり、また費用対効果が分かりにくかったから。,2-10,私が率先して積極的に使うことで、まわりのみんなに使われるように促した。使用すれば、一定のノウハウの共有ができることが分かった。,2.0,2.0,1.0,2.0,2.0
165,営業支援・顧客管理システムのトップランカー,using,IT related Service,2020-11-10,4,顧客管理及び営業支援をする上で、このサービスでできないことはほぼないと思っていいと思います。高度な設定をしようと思えばいくらでもできるので、あらゆる営業チームの要件を満たしてくれるはずです。一方、管理体制や方針が明確に定まっていない場合はあまりおすすめしません。環境の構築・保全にも、システムについてそれなりに精通した担当者が求められるので、すべての人に進められるかというと難しいです。,>51-100,当初、顧客管理はエクセルのシートを利用して行っていましたが、やはりすぐに限界が来てしまいシステムの導入を検討しました。最初は比較的安価なサービスをいくつか試しては軌道に乗らず運用をやめるということを繰り返していました。Salesforceは間違いないサービスであると認識はしていたものの、コスト面や運用者をどうするのかといった点から導入を見送っていましたが、売上をしっかりと管理していく必要性もあり、最終的に導入に至りました。結果として、軌道に乗るまでにかなりの体力を要したものの、このサービスを導入していなければここまで会社の地盤を強固にすることはできなかったと断言できます。営業の見込み顧客や過去顧客の管理はもちろん、与信や請求周りなど、非常に幅広い範囲で活用しています。,3.0,5.0,5.0,5.0,5.0
166,自らの営業先案件の管理,using,Consulting Service,2020-11-10,4,一般的な営業部員です。現在案件を20弱程保有しておりますが、各案件の管理を行うにあたり、細かく進捗を可視化できるので便利。4点である理由としては、自分の分析したいダッシュボード作成に際しての要件定義が難しく感じるため。,>101-200,営業組織において、インサイドセールスからカスタマーサクセスまでの繋がりに力を入れているため、組織全体で案件を可視化できている状態が必要になる。URL1つで全社員と共有できる点がスピード感を上げられたと感じる。,4.0,5.0,5.0,5.0,5.0
167,最高峰のSFA!!,using,IT related Service,2020-11-06,5,弊社では顧客の管理においてsalesforceは必須になっています。取引先の情報を素早く蓄積、分析してくれますのでとても助かっています。私自身がとても気に入っている機能は、新規の顧客と既存の顧客を分け、商談の分析を管理をしてくれる機能です。顧客の状況を簡単に把握することができるのでとても気に入っています。,>1,以前は顧客の情報管理に手間や時間、費用をかけていましたが、salesforce導入後は取引先との紐付けが簡単になり、情報の共有がスピーディーになりました。手間や時間、費用の削減になりとても助かっています。,5.0,5.0,3.0,5.0,5.0
168,案件の進み具合や過去の履歴がチェックでき、情報共有しやすい。,using,Manufacturer/manufacturing system,2020-11-04,5,各営業マンの動きや各案件の進み具合が全営業で情報共有でき、それぞれに対してどういった指示を出したのかが履歴に残るのでいちいち覚えていなくてもよくなった。また、受注計画であとどのぐらいの数字が足りないかなどのデータがすぐに計算ではじき出されるようになったので営業部全体の数字管理者の立場からもエクセルに打ち込んで計算しないといけなかった手間が省けて仕事の効率が上がった。,2-10,今までは営業部員の日報はそれぞれがメールに記載して各上長や社長に送っていたが、メールの日報だとあとから案件について「あの案件どうだったっけ？」と思ってもメールから探し出すのが一苦労。また、誰がどの日の日報を提出しているかしていないかを「日報提出用エクセル」に記録してチェックするという手間がかかっていた。それがこのSalesforce Sales Cloudの導入によってお客様ごとへの動き、日々の案件の進捗具合などの欲しい情報が数クリックで全て履歴が追えるようになった。また、数字管理についても受注できそうなものの数字を日々入力していくので、来月、再来月にどのぐらいの受注が上がりそうかなどの数字予測もすぐに計算で出してもらえるので業務効率が格段にあがった。,4.0,5.0,4.0,5.0,4.0
169,タスク管理の担当や履歴がひと目でわかるように,using,IT related Service,2020-11-03,4,チームの進捗状況がひと目で分かる点が良く、カスタマイズにも優れているため、欲しい情報を取得しやすく、またダッシュボード管理ができるため、チームでのコミュニケーションも取りやすい。,>1000,複数部署と施策の連携をする必要があり、その際施策のリード状況をタイムリーに共有しながら、次なる打ち手や施策の課題についてスムーズに議論できた点が良かった。,4.0,4.0,5.0,4.0,4.0
170,CRMならやっぱりセールスフォース,using,IT related Service,2020-11-03,4,シンプルな利用方法で非常にわかりやすい！初めて使う場合も直感的に操作方法がわかるので問題にならない。ただ、少し込み入った操作が必要な場合は利用方法も複雑な面があり、その際に受けられるサポートが少ない印象。,>11-30,お客さんの情報はセールスフォースで一元管理できた。もちろん導入時のトレーニングや情報の整備は継続して行う必要があるが、それが出来れば非常にシステマチックに情報管理が可能であった。,4.0,4.0,4.0,4.0,4.0
171,CRM管理が容易になりました,using,Food and Leisure Service,2020-10-31,4,大手ソリューションなので、さすがの機能性です。ただ個別開発をおこなったりすることに対して必要以上にコストがかってしまい結局標準機能のみの運用にあわせてしまうことになり、かゆいところにも一歩手がとどけばなぁという印象です。,>101-200,管理者目線で案件の進捗管理をリアルタイム性をもって俯瞰できるということ。またデバイス依存も少ないので外からでもスマホで楽々確認できる,4.0,4.0,3.0,4.0,5.0
172,Salesforceがなくては営業MTGが成り立たない,using,Mass Media/Advertising/Design/Game/Entertainment,2020-10-30,4,社内の営業進捗状況を瞬時にクラウド上で確認できる点がよい。また、その人・チーム・部門ごとといった細かい設定をしたダッシュボードを直観的に作れる点が素晴らしい。サポートに関して電話で問い合わせができないので☆４です。,>11-30,"営業のテレアポ進捗管理やコール数・メアド獲得数などのKPI管理が容易になった。マネージャー層もそのダッシュボードを見ながら、戦略を立てられている。
テレアポにおいても社内で必要な項目だけを表示し、それをレポート機能で見ることができるのがよい。",4.0,5.0,5.0,5.0,5.0
