,topic,usage situation,type of business,review date,overall rating,review,number of accounts used,effects after introducing the service,rate ease of use,rate helpfulness,rate customizability,rate functional satisfaction,rate service stability
135,You can see at a glance the business negotiation information and email exchanges with the other party.,using,IT related Service,2020-11-28,5,"When taking over or checking the status of customers, sales force records the details of business negotiations with customers, the name of the person in charge of the other party, the name of the person in charge at our company, and the exchange of emails, so it is easy to share with others. Easy to work with departments. It is also used as a reference when excavating.",>1,"In the past, when the person in charge was changed, there were times when it was not handed over well, but since important information is organized in Salesforce, it has become convenient to hand over and share the situation.",4.0,5.0,5.0,5.0,5.0
136,High quality!,using,Mass Media/Advertising/Design/Game/Entertainment,2020-11-28,5,"What I felt when I started using it after introducing it was that the UI was very simple, intuitive and easy to understand. It is also possible to customize it, so it can be used overwhelmingly conveniently for project progress management in daily work.",>1,"In order to communicate with each customer individually, it is helpful to be able to grasp the current progress management using the task management function.",5.0,5.0,5.0,5.0,5.0
137,For centralized management of sales information,using,IT related Service,2020-11-28,4,"It is possible to collaborate and share information across departments.
In addition, since the corona sickness has become a remote system, we are also managing attendance,
The UI is simple and easy to understand, and the operation itself is easy, so there is no stress.",>51-100,"Communication with other departments has become easier.
In addition, by collecting necessary information and items, it is possible to report and analyze, so it is a necessary tool for the future.",4.0,5.0,4.0,4.0,5.0
138,Tools for which introduction and operation design are important,using,IT related Service,2020-11-27,4,"Tools that are useful for management and strategic planning for sales/marketing organizations if the introduction and operation design are solid at the initial stage. However, if you try to use it for the time being and introduce it, it will be difficult to repair it later, so be careful.",>1,"A tool that makes it possible to manage the progress of the entire sales organization and visualize the results and actions of individual members. Also, by registering customer information, etc., it is a tool that is useful for strategy design, such as digging up sales lists.",4.0,4.0,5.0,4.0,4.0
139,Realization of efficient project sharing,currently not using,IT related Service,2020-11-27,4,"In my previous job, I was doing business with more than 20 companies at the same time. Among them, by sharing business negotiations and proposals with salesforce, the information transmission load within the company has been reduced, and it has become possible to devote more time to customer service.",>101-200,"Customer information can now be shared smoothly and reliably with internal and overseas departments, reducing miscommunications. In addition, since the status of interactions with customers has been visualized, it has become possible to act flexibly according to the situation of not only myself but also team members.",3.0,5.0,4.0,3.0,2.0
140,Specialized in attendance management,using,Real Estate/Construction/Equipment,2020-11-27,4,"I am still using it at my company. By linking with the form app, attendance management under the current Lee Motowork can be done quite smoothly and without stress. Currently, there is no dissatisfaction with both functionality and operability, so it is 5 points.",>1,"In addition to managing attendance, you can see a list of your own work for the current month, so you can see which phase of which project is taking time. I think it's a trigger to increase the productivity of business.",4.0,5.0,5.0,5.0,5.0
141,task management,using,Real Estate/Construction/Equipment,2020-11-27,3,Being able to use daily attendance management data management is extremely helpful. Position confirmation and compliance management are also possible. I am very happy with what we have achieved so far. I want to continue using,>1,Advantages Ability to manage attendance. Reduction of stamp omission. You can predict how you will work for the current month based on how you work each month and how you worked in the past.,3.0,3.0,3.0,3.0,3.0
142,Centralized management possible,using,IT related Service,2020-11-26,5,"By utilizing reports and dashboards, it is possible to share information with marketing, inside sales, sales, and customer success without omission, and since it is possible to link with Pardot and Focus, centralized management has become easy.",>51-100,"As inside sales, we can contact without duplication with sales, and lead nurturing can be done efficiently.",4.0,5.0,4.0,4.0,3.0
143,This is the place to share company information!,using,Manufacturer/manufacturing system,2020-11-23,4,"In-house bulletin boards, customer information, monthly reports, daily business reports, project management and most of sales activities are done within the sales force system, information is centralized and easy to use. Because input from smartphones can be done smoothly
You can input without stress even when you are away from work.",>11-30,"It became easier to see the activity progress of each business. It has become easier to exchange information not only with sales but also with other departments. By managing projects, there are fewer omissions and omissions in activities for each project.",3.0,5.0,5.0,4.0,4.0
144,For business card management,currently not using,IT related Service,2020-11-23,5,"At my previous workplace, I used it to register business cards.
It is convenient when searching for customers later, and it is essential as a business tool because information can be shared smoothly throughout the company.",>1,"Easy to manage and organize customer information.
Appointments and current status can be easily checked, making it easier to manage tasks.",4.0,5.0,4.0,5.0,5.0
145,The world's preferred sales support system,currently not using,IT related Service,2020-11-23,4,"There are many introduction cases in the sales support system, and it is well known. It's no exaggeration to say that it has all the features you need. It is worth introducing because it is easy to link with other services.",>1,"Satisfy your customers and seize business opportunities with Salesforce Sales Cloud. In addition to the stable supply of services, detailed communication and support are also possible.",4.0,5.0,4.0,5.0,4.0
146,Used for sales management and sales analysis,using,Consulting Service,2020-11-21,3,Introduced for use in annual sales management. It is managed by inputting how much sales and profits have been accumulated in what kind of project. It is assumed that eventually it will be used as a data source for business intelligence.,>1,"First, I was able to manage sales. In the near future, I want to use it for budget management and to see how it can be used to achieve the budget. In the future, I would like to expect him to play an active role in analyzing the current situation such as strengths and weaknesses in the company.",4.0,4.0,3.0,4.0,3.0
147,task management,using,Finance/Insurance,2020-11-21,4,"Ease of use without complaint in project management. Progress can be centrally managed, and versatility is very high. I didn't use functions such as chat, but used other services. There is room for improvement in that respect.",301-500,"Previously, it was difficult to get an overall picture of the project as it was managed individually. With the introduction, it became possible to visualize projects including those of colleagues, which greatly improved work efficiency.",4.0,5.0,3.0,4.0,3.0
148,simple and easy to understand,using,IT related Service,2020-11-21,4,"I am using it as a user, but it is simple and easy to use for daily attendance recording, each application, and approval to the superior at the end of each month.
Simple operation and easy-to-understand button names make me feel that there are no unnecessary functions in a good way.",>1,"Previously, monthly attendance management in Excel and daily attendance management in timecards were not centralized. By using this tool, end-of-month paperwork has become easier from the user's point of view.",3.0,4.0,3.0,3.0,4.0
149,Specializing in in-house customization performance and easy to understand deployment to MA tools,using,Consulting Service,2020-11-20,4,"It was easy to customize salesforth from our original management method. Also, it was easy to imagine how it works with other MA tools.",>1,"The manual input of multiple data has been automated, and we were able to devote a large amount of time to other tasks. Thanks to you, our profits are increasing.",3.0,3.0,5.0,4.0,4.0
150,"Best Customer Management, CRM Tools",currently not using,IT related Service,2020-11-19,4,"I used it at a company I used to work for, about 7 years ago, and I remember that even at that time, it had perfected usability that I didn't feel any inconvenience using.",>1,"I once received a proposal from a sales person to expand functions, etc., and they said that with this much cost investment, this much cost reduction can be expected. Although it was a simple logic, it was an easy-to-understand material to explain to the president, who is the decision maker. I think it's probably because the sales person is thoroughly proposing from the customer's point of view.",3.0,3.0,3.0,3.0,3.0
151,Management system for consolidating corporate information and business negotiation information,using,IT related Service,2020-11-19,5,"It can be said that it is a platform that is designed to be very easy to understand and easy to see as a place where you can aggregate and manage business information of business partners and business negotiations. In addition, the dashboard and pages dedicated to business negotiations can be customized each time to meet various needs, making it a very useful design.",>101-200,"It became possible to understand the progress status and phase management of each business negotiation at a glance, and it was very useful as a shared place and a place managed by superiors. It is convenient as a place to go back to information because you can centrally manage the departments and people in charge of the business partners, as well as the organizational structure and the memo of the accounting period.",5.0,5.0,5.0,5.0,4.0
152,Visualize all data related to sales! !,using,IT related Service,2020-11-19,5,"I have never used another CRM, but it is highly customizable and you can get all the ""data you want"" for sales activities! It is also possible to link with a spreadsheet, so you can see detailed data, so you can make decisions based on data for new measures, making it a truly data-driven organization.",>51-100,"It takes time to get used to how to use it (until data and history are thoroughly entered), but if you can incorporate it into your operations, you will be able to easily manage customer information and sales. Initially, it was a triple management of Excel and spreadsheets, but now it is operated only with this CRM.",4.0,5.0,5.0,5.0,5.0
153,Easy project management across departments,currently not using,IT related Service,2020-11-19,4,"Indispensable in project management. It has a wide variety of functions, and I think that it is quite convenient if you can master it.
However, since it has too many functions, I think it is important to have a dedicated person who is familiar with the initial settings and to identify the functions that do not need to be used. If you can master it, your strength as a company will rise considerably.",>51-100,"This solved the problem of someone breaking the format when I was managing Excel.
It was easy to manage which member was in what situation, and it was very helpful when thinking about the next move in sales.",4.0,5.0,5.0,4.0,5.0
154,Cloud service mainly for customer management and negotiation management from inquiries,using,IT related Service,2020-11-19,4,"It is easy to use if the business analysis goes well and the functions can be optimized to some extent to suit the business.
I use it while making full use of searching the data that exists inside, but I feel that the searchability is high.

If there is a difficulty, the display load is high in a single page application,
The display feels a little flimsy.",2-10,"When a customer introduced the system, it was possible to visualize customer information and the status of business negotiations, making it easier to manage customers and the progress of business negotiations within the organization.",3.0,4.0,4.0,4.0,4.0
156,Used for task management,using,Manufacturer/manufacturing system,2020-11-18,4,Management has become easier because information managed by each can be shared in a timely manner. You can see your progress at a glance. It is also used to share information not only within the department but also with other departments.,>1,"Since you can check past records, the time spent looking for information in emails and handover time has been reduced. It is easy to use and can be customized according to your needs.",5.0,4.0,4.0,5.0,4.0
157,First design is very important,using,IT related Service,2020-11-18,4,"I think they are indispensable for sales management, support, and customer management.
There is almost no value in inputting results that do not lead to the future, and we believe that Excel management is applicable to businesses that have reached a certain scale.

I feel that the true value of this product is its ability to make predictions based on the accumulation of daily business negotiations and sales information.",>51-100,"Of course, it is now possible to manage customers and negotiations, but it is also convenient for inter-departmental collaboration from the time of negotiations until the billing. Within our company, it also plays a role in passing the baton of business negotiations by skipping slack notifications when phases change through API linkage.


on the other hand,
For example, if you start the introduction for the purpose of fulfilling only a part of the purpose of wanting to escape from EXCEL management, the design of the structure that should be is insufficient, so it will only produce data that is difficult to utilize. increase.

Since it has a lot of functions, we recommend that you assign a dedicated person to design it first and then introduce it.",4.0,4.0,5.0,4.0,5.0
158,Manage attendance with ease,using,IT related Service,2020-11-17,5,"Even I, who is not good at system and information management, was able to manage attendance easily.
You can set and apply for overtime work and vacation applications in detail.
I no longer feel stressed about attendance management.",>11-30,"Due to the easy-to-understand UI and easy-to-understand task list, mistakes related to attendance have decreased.
In addition, since the application flow can be set in detail, attendance management for each department has become easier.",5.0,5.0,5.0,4.0,5.0
159,Importance of project management,using,IT related Service,2020-11-13,3,"Introducing Salesforce has helped us visualize various numbers. The follow-up after the introduction of the service was also very good, and although the number of times was limited, they provided a place for users to explain how to use it.",>31-50,"By introducing Salesforce, it became possible to manage projects to achieve sales targets. By sharing the progress of projects within the section and department, it became possible to support and follow up on issues, which led to the acquisition of projects.",2.0,4.0,5.0,4.0,4.0
160,You can see the progress of the team and members at a glance,currently not using,IT related Service,2020-11-11,5,"You can visualize the progress of the team and the status of your own activities, and you can communicate while looking at the dashboard to see what issues you have and what actions you should take.",>1000,"I used to use it at my previous job, but before introducing it, I used to manage data using Excel and spreadsheets, but with the introduction of SF, I was able to manage data quickly and accurately. It became clear to grasp the situation and what measures to take in the future.",5.0,5.0,5.0,5.0,5.0
161,Individual negotiation progress and customer information can be aggregated.,using,IT related Service,2020-11-11,4,"I feel that sales activities can be made more efficient because the progress of business negotiations and customer information, which tends to be handled by sales individuals, can be collected in one place and can be viewed by the team. In addition, you can create various task lists depending on how you compose them, such as a call list, and you can also customize the export format. It's an inside sales move, but I'm making a lot of use of it.",>101-200,"I was able to see the progress of business negotiations and customer information that had been kept as a black box by individual sales personnel. The attack list can be easily extracted, and sales activities have become more efficient.",4.0,4.0,4.0,4.0,4.0
162,Centralize performance management,using,Mass Media/Advertising/Design/Game/Entertainment,2020-11-11,3,"Until now, performance management was managed by department using Excel. By introducing Salesforce, it became possible to manage the progress of performance in a timely manner on the cloud. It is convenient to be able to create applications other than performance management.",>201-300,"Until now, it was difficult to grasp the whole performance management because it was managed by Excel for each department. Problems often occur when multiple people access the same file. I was able to solve the problem by using Salesforce.",3.0,4.0,4.0,4.0,5.0
163,Easy to gain trust from clients,using,Mass Media/Advertising/Design/Game/Entertainment,2020-11-11,4,"It is convenient for grasping the situation such as client access analysis and homepage / LP / advertisement inflow.
It is also highly customizable and convenient when sharing information with clients.",2-10,"Extracting issues on a common screen with the client, and managing good points and bad points as a future function
It is easy to gain trust from clients.",3.0,4.0,3.0,2.0,4.0
164,"I wanted to improve the efficiency of sales activities and share know-how, but it is difficult to use",currently not using,Mass Media/Advertising/Design/Game/Entertainment,2020-11-11,2,"No one entered data, and it felt like the workload had increased, and it was just a heavy burden. The results of sales did not come out immediately, it took time, and it was difficult to understand the cost effectiveness.",2-10,"By taking the initiative and actively using it, I encouraged everyone around me to use it. It was found that a certain amount of know-how could be shared if used.",2.0,2.0,1.0,2.0,2.0
165,Top ranker in sales support and customer management systems,using,IT related Service,2020-11-10,4,"In terms of customer management and sales support, you can think that there is almost nothing you cannot do with this service. It's highly configurable and should meet the requirements of any sales team. On the other hand, if the management system and policies are not clearly defined, it is not recommended. The construction and maintenance of the environment also requires people who are familiar with the system, so it is difficult to say whether everyone can proceed.",>51-100,"Initially, customer management was done using an Excel sheet, but it soon reached its limit and we considered introducing a system. At first, we repeatedly tried several relatively inexpensive services and stopped using them when they didn't get off the ground. Although I was aware that Salesforce was a reliable service, I was hesitant to introduce it due to issues such as cost and what to do with the operators. It has been introduced. As a result, although it took a lot of physical strength to get on track, I can assert that without introducing this service, I could not have strengthened the foundation of the company so far. It is used in a wide range of areas, such as managing prospective and past customers in sales, as well as credit and billing.",3.0,5.0,5.0,5.0,5.0
166,Management of own sales destination projects,using,Consulting Service,2020-11-10,4,"General sales staff. We currently have about 20 projects, and when managing each project, it is convenient because we can visualize the progress in detail. The reason for 4 points is that I find it difficult to define the requirements for creating a dashboard that I want to analyze.",>101-200,"Since the sales organization is focusing on connecting from inside sales to customer success, it is necessary to be able to visualize projects throughout the organization. I feel that the point that can be shared with all employees with one URL has increased the sense of speed.",4.0,5.0,5.0,5.0,5.0
167,SFA of the highest peak!!,using,IT related Service,2020-11-06,5,"In our company, salesforce has become a must for customer management. It is very helpful because it quickly accumulates and analyzes customer information. My favorite feature is the ability to separate new customers from existing customers and manage deal analysis. I really like it because it makes it easy to keep track of the customer's situation.",>1,"In the past, it took time, effort, and money to manage customer information, but after introducing salesforce, it became easier to connect with business partners and share information more quickly. It helps me a lot in saving time, effort and money.",5.0,5.0,3.0,5.0,5.0
168,"You can check the progress of projects and past history, making it easy to share information.",using,Manufacturer/manufacturing system,2020-11-04,5,"Information about the activities of each salesperson and the progress of each project can be shared by all sales personnel, and the history of instructions given to each person is kept, so there is no need to remember each and every one. In addition, data such as how much more numbers were missing in the order plan was immediately calculated, so I had to type into Excel and calculate from the standpoint of the number manager of the entire sales department. It saves time and improves work efficiency.",2-10,"Until now, the daily reports of the sales staff were written in emails and sent to their respective superiors and presidents. Having a hard time finding it. In addition, it took time and effort to record and check in the ""Excel for daily report submission"" who submitted the daily report for which day. However, with the introduction of this Salesforce Sales Cloud, it is now possible to track all the desired information, such as the movement of each customer and the progress of daily projects, with just a few clicks. In addition, as for numerical management, since we enter the numbers of orders that are likely to be received every day, we can immediately calculate numerical forecasts such as how much orders are likely to increase in the next month and the month after next, so the work efficiency has improved dramatically. rice field.",4.0,5.0,4.0,5.0,4.0
169,So that you can see the person in charge and history of task management at a glance,using,IT related Service,2020-11-03,4,"It is good that the progress of the team can be seen at a glance, and it is also excellent in customization, so it is easy to obtain the information you want, and because you can manage the dashboard, it is easy to communicate with the team.",>1000,"It was necessary to coordinate measures with multiple departments, and it was good that we were able to smoothly discuss the next steps and issues of measures while sharing the lead status of measures in a timely manner.",4.0,4.0,5.0,4.0,4.0
170,"If it's CRM, it's Salesforce",using,IT related Service,2020-11-03,4,"Simple to use and very easy to understand! Even if you use it for the first time, you can intuitively understand how to operate it, so there is no problem. However, if a slightly complicated operation is required, the method of use is complicated, and the impression that you receive little support at that time.",>11-30,"Customer information could be centrally managed by Salesforce. Of course, it is necessary to continue training at the time of introduction and maintenance of information, but if it can be done, it would be possible to manage information very systematically.",4.0,4.0,4.0,4.0,4.0
171,CRM management made easy,using,Food and Leisure Service,2020-10-31,4,"Because it is a major solution, it is truly functional. However, doing individual development costs more than necessary, and in the end, we end up using only the standard functions.",>101-200,"It means that the progress management of the project can be overlooked in real time from the manager's perspective. In addition, since there is little device dependence, you can easily check with a smartphone even from outside",4.0,4.0,3.0,4.0,5.0
172,Sales MTG is not possible without Salesforce,using,Mass Media/Advertising/Design/Game/Entertainment,2020-10-30,4,"The good thing is that you can instantly check the progress of sales within the company on the cloud. Also, it is wonderful that you can intuitively create a dashboard with detailed settings for each person, team, and department. ☆ 4 because I can't contact you by phone regarding support.",>11-30,"KPI management such as sales tele appointment progress management and number of calls and number of emails acquired has become easier. Managers are also making strategies while looking at the dashboard.
It is good to be able to display only the necessary items in the company even in tele appointments and see them with the report function.",4.0,5.0,5.0,5.0,5.0
173,Used for general-purpose order management,currently not using,Mass Media/Advertising/Design/Game/Entertainment,2020-10-29,4,"Initially, we considered introducing it on the premise of customization for specific departments, but in the end it was decided to operate without customization.
As a result, by not customizing it, each sales department can use it as a general-purpose tool.",301-500,"Information sharing and visualization across departments has progressed, and by arranging items for general purposes, it has become possible to conduct cross-sectional analysis from a cross-sectoral perspective.",4.0,4.0,1.0,3.0,3.0
174,You can understand sales management and project management at a glance!,using,IT related Service,2020-10-28,4,"CL and AG management linked to projects, sales management, and search functions are useful.
It is attractive that you can create a situation where you can get one shot if you look at SF.
It is also useful to be able to grasp past projects and the transaction status of the entire company from CL.",>101-200,"The basic SFA functions are substantial, and since it is a major company, it is equipped with a large server, so I have never had a hard time connecting. As I wrote in other items, CL and AG management linked to projects, sales management, and search functions are useful. It is attractive that you can create a situation where you can get one shot if you look at SF.",4.0,4.0,4.0,4.0,4.0
175,How a standard CRM works,using,IT related Service,2020-10-27,4,"An industry-standard CRM, to some extent, the necessary objects are provided, making it easy to get started.
In addition, since it can handle complicated matters, it is possible to add and change company-specific processing.
We have a lot of know-how because we reflect opinions from various companies.",2-10,"I haven't used it in earnest yet, but the availability of standard objects has expanded my options.",4.0,4.0,5.0,4.0,5.0
176,I learned everything I need to know about running a business,using,Consulting Service,2020-10-27,4,"Until now, I used a competitor's service, but the server was heavy and the update work did not proceed, and rather, the work efficiency deteriorated. was able to confirm",>51-100,"In the sales process, how much activity and how many projects are needed by when is an important indicator.",4.0,4.0,4.0,4.0,4.0
177,"Smooth task management, monthly goal setting, and attendance management! !",using,IT related Service,2020-10-27,4,"You can easily manage attendance and set monthly goals. Also, task management and schedule management can be done within the same window, so I think it is very convenient. A wide range of sections are registered for reimbursement of transportation expenses and regular applications, so it is possible to input without spending time.",>1,"I feel that employee management is very easy because monthly goal setting and task schedule management for each employee can be centrally managed. Both weekly and monthly schedules can be centrally managed, so I think it's a very useful service from the perspective of the person in charge of the department.",5.0,4.0,4.0,5.0,5.0
178,extremely easy to use,using,IT related Service,2020-10-26,5,"It is operated as a core system as a company-wide standard CRM, and it is an important system that does not turn around at all, such as lead management, campaign management, business negotiation management, estimate creation, and customer management.",>1000,"Employee education is essential for company-wide introduction. As a matter of fact, if you introduce it without proper training, you will end up with a system that is good but you can't use it.",5.0,5.0,5.0,5.0,5.0
179,Centralized management of customer information enables smooth information sharing,using,Retail/distribution/trading companies,2020-10-22,5,"I have used various other software for customer management, but Salesforce has overwhelmingly more functions than others, such as task management and rights holder authority, in addition to customer management. The quality of customer service provided by the employees has significantly improved.",>1000,"(1) By being able to share customer information, cooperation with other employees has become smoother.
(2) Since subdivided task management is possible, the service ability for each customer is equalized and synergistically improved.",5.0,5.0,3.0,5.0,5.0
180,Best CRM/SFA tool I've ever used,using,Real Estate/Construction/Equipment,2020-10-21,4,"With a wealth of functions, all the functions necessary for an organization are completed on the browser.
Customer information, business negotiation information, marketing information, and various other workflows can be handled with a single tool, which is convenient.
The reporting function is especially useful.
Not only can you create your own reports to extract sales data on various axes, but you can also save the rules and use them repeatedly.",>1,"Centralized management of customer information.
Access the information you need anytime, anywhere.
No more wasting time looking for information.",4.0,4.0,4.0,5.0,4.0
182,Centralized management of customer data that was disparate within the group,using,Manufacturer/manufacturing system,2020-10-20,4,"Although it was a minimal plan, we were able to sufficiently manage large amounts of user data and supplemental data information. In addition, report work can be created easily, leading to a reduction in man-hours.",>1,"It was introduced to centrally manage user data that had been managed separately between groups. The key process for maximizing LTV for customers was clarified, and it was also used as an analysis environment. By accumulating the results of each campaign each time, we are able to improve the accuracy of our measures.",4.0,5.0,5.0,3.0,3.0
183,Collective management from customer to sales progress,using,Manufacturer/manufacturing system,2020-10-18,5,"In addition to being able to manage customer information, you can also finely grasp and manage your interactions with past customers and the progress with your current customers. Since it is possible to link customer information and sales activity management, it has become easier to promote the standardization of sales employee management, sales activities and task management, and uniform customer service.",2-10,"In the past, customer management was managed using Excel. I was able to obtain information about the project at that moment, but it was not clear what the customer's lead source was or how the sales person interacted with them. Also, since the organization was dependent on the veteran sales staff, it was difficult to use the information held by the veteran sales staff as company assets when the generation changed. Since the introduction of Salesforce, customer information and sales interactions have been stored in Salesforce, so for example, when a customer contacts you, even if the sales person in charge is absent, We are now able to respond to some extent from the history of past interactions. Customer information is now shared by sales force, and the effect after the introduction is that the period of business negotiations with customers has been shortened.",4.0,5.0,5.0,5.0,4.0
184,I write down my achievements and comments during evaluation interviews,using,IT related Service,2020-10-18,3,This tool is used as an evaluation sheet for semi-annual and full-year evaluation interviews at the company. Copying and pasting from past archives is also easy and helpful. It is also convenient because it is easy to enter scores and comments.,>1000,"It is convenient to enter evaluation scores and comments over multiple items, and scores, comments, and feedback on them are also entered, making it easy to see and very suitable for management.",4.0,4.0,3.0,3.0,5.0
185,The service was easy to understand!,currently not using,IT related Service,2020-09-10,4,"My ability was the same, but it was a very easy-to-work environment. In addition, I thought that it was a great thing to be able to use various services. I would like to try to improve the service.",>1,"I found it difficult to manage tasks. It was difficult to make a schedule, but I think it was inevitable.",5.0,5.0,5.0,5.0,4.0
186,Sales Force,using,IT related Service,2020-10-13,5,"To be honest, I don't think it's cheap when it comes to SFA alone, but I think there's a reason why the number of introductions is overwhelmingly large. I think it is clear from the logic that the productivity of the sales organization will increase as a result. In addition, since the results come out in the organizations that use their own sales force the most, their persuasiveness in proposals and implementation successes is unparalleled.",2-10,"In order to carry out team selling, it was absolutely necessary to put in tools that could store and utilize information across time and space axes. I couldn't think of a choice other than sales force even if I heard about it. The high degree of customizability makes it possible to utilize data regardless of business type, and on the other hand, the fact that it can be fully effective even in standard usage without customization makes it very effective for start-up companies that are rapidly expanding their business and organization. I find it useful. I have just installed it, so I don't have a clear effect, but I think it will definitely work.",4.0,5.0,5.0,5.0,5.0
187,It is easy to receive business orders from companies!,using,Food and Leisure Service,2020-10-11,5,"For work requests that require individual communication with employees, you can access the information held by the company through this, and you can check the work you want to request individually based on past projects, and you can also send your work to others. employees can also check. An essential app for mainly communicating without going to work.",>101-200,"The ability to access information managed by the company from individual company mobile phones. Shift management is also possible, so it is easy to request and confirm shift requests.",3.0,5.0,5.0,5.0,4.0
188,Requests are difficult to fulfill,using,Mass Media/Advertising/Design/Game/Entertainment,2020-10-10,3,"The largest customer relationship management system (CRM) in the cloud. New functions are being added all the time, but the existing functions that are not easy to use have not been improved. . For example, the difficulty of handling multiple select lists, the lack of functions that can handle multiple select lists, bulk record editing on reports, community users are not reflected in report cross conditions, etc.",>11-30,"By displaying the data in Salesforce on the web, the work of exporting each time and posting it on the web has been eliminated.",3.0,4.0,4.0,4.0,5.0
189,"Even I, a sales beginner, was able to get off to a good start.",currently not using,Consulting Service,2020-10-10,5,"From May of this year, I was ordered to sell only for a short period of 5 months. Even though I didn't know the basics of sales, I was able to intuitively understand the sales flow with the UI and UX on Salesforce, and I was able to concentrate on sales without spending man-hours on management.",>1000,"I think that ""customer information management"" is a big deal for sales beginners. It was really great that I was able to focus on the time I should have spent with the customer instead of spending time managing it.",5.0,5.0,5.0,5.0,5.0
190,"It can be used for customer management, negotiation progress management, and billing confirmation, but...",using,IT related Service,2020-10-08,4,"I mainly use it to share and manage the progress of negotiations. It is also used to check billing timings. However, I have the impression that it is difficult to use because it is difficult to understand the lead acquisition when conducting seminars and the interface for linking with other cloud services. 4 points for low scalability.",>101-200,"When I started using this service after being recommended by another department, I managed business negotiations in Excel, and there were many errors in editing. became.",4.0,4.0,3.0,3.0,5.0
191,Easy to check project management history.,using,IT related Service,2020-10-08,4,"I am satisfied that it can be used without problems even if it is linked with other companies' tools (Office365, call center management tools), and I can trace back the project history, create reports, and share documents without any problems. However, once in the past, when data was migrated at the same time as the SFDC account, all 2-byte characters were garbled and most of the data was lost.",>1,"Although there are multiple branch offices and there are local rules for project processing, I think that customer data can be managed with almost unified rules.",5.0,5.0,5.0,5.0,4.0
192,Reduced contract conclusion speed,using,Mass Media/Advertising/Design/Game/Entertainment,2020-10-07,4,"While working as a freelancer, the speed of signing a contract with a client has increased significantly compared to the time it took before. You can now check and conclude on the same day with your smartphone.",2-10,"The speed of contracting with clients has become smoother and faster. Since it can be handled with a smartphone, the response from everyone has become very fast.",4.0,4.0,4.0,4.0,4.0
193,Task management and accumulation of company information using Salesforce,using,Food and Leisure Service,2020-10-07,4,"It was difficult to get used to at first, but once I got used to it, I was able to customize and visualize the information I wanted on the dashboard, and I was able to see the health status of my team members at a glance. In particular, KPI management is easy, and by replacing the number of visits and progress status managed by Excel with Salesforce, there is also the advantage of preventing it from becoming a commonplace.",2-10,"Previously, individual members used Excel to create customer lists and sales forecasts, but we were able to unify them, making it easier for managers to give advice.
Since we can also grasp the progress status in real time, I think that we can prevent opportunity loss by doing what is necessary at the necessary timing.",4.0,5.0,4.0,4.0,5.0
194,You can see operating profit at a glance.,using,Food and Leisure Service,2020-10-07,4,"By entering the business name and hourly wage of each staff member, you can immediately check the operating profit of the entire branch and the operating profit of the sales representative.
In addition, the system makes it easy for the head office to grasp the operating income of each branch.",>51-100,"Up until now, I had used Excel and other software to calculate the numbers myself, so there were many cases where there were discrepancies between the actual numbers and the numbers. With the introduction of this service, there are no errors, and we are able to manage numbers properly.",4.0,4.0,4.0,4.0,4.0
195,The sales support system is great!,using,IT related Service,2020-10-06,5,"Not to mention the richness of the software's functions, the support system of the sales people who make full use of the functions is wonderful. You can find out about system settings by contacting the support desk, but gaining design know-how from the world's No. 1 SaaS company is worth more than money.",>11-30,"We hadn't been able to visualize the sales process, but we were able to see the actual situation by introducing Salesforce, systematizing it, and developing operational operations.",5.0,5.0,5.0,3.0,5.0
196,Dashboard setting and member entry are the barriers,currently not using,IT related Service,2020-10-05,3,"It seems that there are many things that can be done with multiple functions.
However, the first barrier and the most important thing is that the members involved as a base leave information on Salesforce and use it on a daily basis.
On top of that, from a sales perspective, it is necessary to visualize the bird's-eye view data on the dashboard, but until you get used to it, setting up the dashboard is a hurdle.",>11-30,"Steadily explained the necessity to members / Called Mokumokukai, instead of having individuals input, set aside time to consciously fill in as a team",3.0,3.0,4.0,4.0,4.0
197,On-site information can be obtained immediately,using,Consulting Service,2020-10-04,4,"Sales information that is collected over time can be collected in no time.
The design is also intuitive and easy to understand, and I feel that it is very good that it can be used as it is as a sales material.",2-10,"Until now, sales information was collected in Excel by asking an intermediary to do so.
Now, the data entered by the local sales company is sent immediately, so it has become easier.",4.0,4.0,5.0,4.0,4.0
198,Local business information can be collected as it is,using,Consulting Service,2020-10-04,5,"It has become possible to collect on-site sales information immediately, and it is a very convenient tool that I find very useful.
This eliminates the need for middlemen, which in turn reduces costs.",2-10,"Sales materials that were created in Excel and PPT and became a monthly hassle,
It is now possible to collect and create data quickly and accurately.",3.0,5.0,3.0,4.0,3.0
199,Strongest customer management tool,using,Retail/distribution/trading companies,2020-10-04,5,"All customer data can be managed in one tool. Since the person in charge of the route sales position changes regularly, I think it would be very efficient to manage it with one tool.
You can also find out what events you attended.",>1,"When approaching customers, it is better to have various information to avoid stepping on landmines. In addition, it is highly expandable, and you can add various tabs such as daily sales and discount application.",5.0,5.0,5.0,5.0,5.0
200,It is easy to share approaches to new development targets at the head office and branches,currently not using,Real Estate/Construction/Equipment,2020-10-03,5,"From my point of view, I didn't know whether it was paid or not, but as a user, it was very easy to use.
It also keeps a record of when and what was entered, so I think it was good that I was able to prevent duplication of input data.",2-10,"I was a walk-in salesman, and I used Sales Force to make tele appointments with targets I found at the head office call center.
A format was also prepared, so I just entered the target information there and it was shared with the head office call center. It also led to many new contract acquisitions.",5.0,5.0,5.0,4.0,5.0
