,title,author_info,rating,pros,cons,helpful
486,Great place to work,"Mar 23, 2022 - Account Executive",5.0,"Culture, teamwork, product - from my experience, you are set up for success to hit your number.",Wish the base salary was higher.,Be the first to find this review helpful
487,Fantastic experience so far.,"Mar 23, 2022 - Lead Solutions Engineer",5.0,Great Benefits Great Culture Many Opportunities to grow your carrier,"Nothing yet, Only 6 months in.",Be the first to find this review helpful
489,Not as great as previously thought.,"Apr 3, 2022 - in Salt Lake City, UT",2.0,"Very inclusive, which is important to me, as a gay man.","My supervisor directly created a hostile work environment for me. I already have PTSD, so I was always on high alert, which is exhausting and detrimental to my mental and physical health.",3 people found this review helpful
490,Salary info,"Mar 22, 2022 - MM Account Executive in Chicago, IL",5.0,Salary is competitive in market,Select a role that has high quota attainment,Be the first to find this review helpful
491,Salesforce really does lead with values,"Mar 22, 2022 - Account Executive",5.0,Customer success is a number one priority Trust and innovation are key to our success,You need to be driven by success to enjoy working here,Be the first to find this review helpful
492,Will Retire Here,"Mar 22, 2022 - Strategic Account Director",5.0,Awesome culture Awesome products Awesome market reputation,Might be growing to fast.,Be the first to find this review helpful
493,Disjointed and disingenuous,"Apr 26, 2022 - Sales Compensation Manager",1.0,"Big recognizable brand, decent perks/benefits.","Inefficient operations, disingenuous culture - it's the DMV in a tech package.",1 person found this review helpful
494,good,"Apr 5, 2022 - Inside Sales in Barcelona",3.0,good good good good good,It was the great job.,Be the first to find this review helpful
495,Great company (mostly),,5.0,"Salesforce is a great company, if you level set your expectations. * Consistent pay, benefits, PTO * Smart peers * Good company culture and values * Manageable scope of work without much deviation","* Cultural indoctrination; you need to fully buy into the Salesforce culture to be a fit. If you don't drink the cool aid, you won't be a fit. * Still lacks diversity in parts of the organization; cultural and gender diversity remains a challenge. * Your role is to stay in your swim lane, scope of your work is defined and you are expected to stay in your swim lane. * In order to get promoted, you either need friends higher up or fit a very specific Salesforce profile. There is partially still a glass ceiling for many minorities.",6 people found this review helpful
496,Good job,,5.0,"Good environment to learn, challenging","Can get a bit mundane, can have faces of high stress",Be the first to find this review helpful
497,Great place to build career,,5.0,- Transparency in promotion cycle - Transparency in compensation - Strong exit opportunities,- Work/life balance can be eh sometimes,Be the first to find this review helpful
498,Salesforce/Mulesoft is on a different level (Best Employer),,4.0,"Salesforce/Mulesoft is the best employer l have had the privilege of working for, l knew it was a good employer but after joining - l would definitely say the grass is greener on this side. Starting from the interview process, onboarding and initial team meeting/orientation has been awesome and the work/life balance is on a whole different level.",Nothing l can think of right now.,Be the first to find this review helpful
499,Pretty good gig,,4.0,"ESPP plan, cushy offices, intensely collaborative environment","Managers seem to be promoted at a far greater rate than individual contributors, ""Salesforce from Anywhere"" is a sham, compensation is dictated and (in my opinion) below average for the role I was in, vaccine mandates are garbage - regardless of stance, forcing medical decisions on people is WRONG",Be the first to find this review helpful
500,It was okay,,3.0,Cool vibe in the company over all. Tech company with a great product.,Poor management in my area,Be the first to find this review helpful
501,"Great company, one of the best sales organizations",,5.0,"Fantastic product, sales enablement and leadership",Employees who are promoted internally are underpaid compared to competitors,Be the first to find this review helpful
502,Great,,5.0,Benefits pay culture people life,Nothing I can think of,Be the first to find this review helpful
503,"Too Big, Too Corporate",,1.0,Good Cloud Products that provide business benefits,People at Salesforce are soul-less.,6 people found this review helpful
504,"Built a career here, treated me very well",,5.0,-Fast Moving -Ability to learn and move around -Invests in talent -Growing focus on supporting families,"-As it is growing, some red tape has been introduced but is still much faster moving than any other company of its size.",1 person found this review helpful
505,Truly happy here,,5.0,"- Work life balance is great. I rarely think about work related things when I'm clocked out - No micro managment - Leadership will always step in and help, no questions asked and I really do feel they have my best interest - Benefits and pay are competitve - Quota is achievable - Promotion path is clear","- WFH culture is great, but I don't feel is sustainable with Salesforce's brand and there is very little opportunity to ever work with colleagues in person",Be the first to find this review helpful
506,Great Place to work,,5.0,"Respect, benefits, autonomy, and great work/life balance.","large, steep learning curve, remote work can be challenging.",Be the first to find this review helpful
507,Love It,,5.0,Work life balance is great,Fast Paced environment can be tough,Be the first to find this review helpful
508,Salesforce,,5.0,Great work life balance Great compensation Good company culture Diversity Great leaders Amazing Team,Feels a bit fast paced,Be the first to find this review helpful
509,Excellent Culture,,5.0,Good work culture and competitive compensation and benefits,No specific cons at this time,Be the first to find this review helpful
510,AE Review,,4.0,"Learning professional sales skills (running a strong meeting, etc)",Tough to get work/life balance- the expectation is to work overtime without getting paid overtime,Be the first to find this review helpful
511,Lots of opportunity!,,5.0,"Great company, people and benefits. There is plenty of room to grow your career and take advantage of a plethora of training and resources.","Sometimes positions and team changes are not communicated very well. If you do not like change, you will not like Salesforce.",2 people found this review helpful
512,Great place to work,,5.0,Good work life balance and benefits,Management is totally disconnected so things are often chaotic,1 person found this review helpful
513,LATAM Region Account Executive,,4.0,Great company if you're hired in the US. They protect and take care of their employees. Gerat perks Great environment,LATAM division drives their corporate culture baed on threats and fear,2 people found this review helpful
514,Was expecting better,,3.0,Pay and benefits are good and some people are great to work with,People are hired in or promoted into incorrect jobs. Working with acquisitions is tough.,Be the first to find this review helpful
515,Great company to work for,,5.0,"great values, culture, existing work, great quality of people, benefits, salary","work life balance, work hours",Be the first to find this review helpful
516,Great fast-paced company,,5.0,Great culture and transparency. Really supportive leadership and team. Many opportunities for career progression.,At times it is hard to balance workload but mental wellness is encouraged above all.,Be the first to find this review helpful
517,Great benefits and culture,,4.0,Good benefits Good culture Reasonable managers Good work life balance,Repetitive work Not many other people in your role can help,Be the first to find this review helpful
518,Salesforce data analyst,,4.0,Great culture and work life balance,The pay could be higher and more competitive,Be the first to find this review helpful
519,Love it,,5.0,Salesforce as a sales profession is the pinnacle of tech sales career. Great benefits. Company goes above it's duty of providing a cloud CRM.,Comp plan gets sophisticated and gets discouraging to figure out,1 person found this review helpful
520,Wow,,5.0,"Great benefits, great culture, company that leads with values",I'm sure there are...haven't figured out the cons yet,Be the first to find this review helpful
521,Senior Support Engineer review,,5.0,Great work environment Increase your certifications for free,Not many options for growth,Be the first to find this review helpful
522,Amazing Culture,,5.0,--Best people --Conducive environment for growth of employees --Takes utmost care of well being of the employee,--salary and stocks are hard to negotiate,Be the first to find this review helpful
523,Be surrounded by people that bring their best while bringing out the best in you,,5.0,People are the best of the best We use our own products Customers actually like the technology Still in a growth mindset - which gives you an opportunity to leave your fingerprints on pieces of the business as we scale,Big company so it can be challenging keeping up with all the new additions You better be someone that actually likes (and embraces) change. It is a constant over here.,Be the first to find this review helpful
524,Great job,,5.0,flexibility and a overall great company,busy and ever changing. Always challenging,Be the first to find this review helpful
525,Depands what you are after,,4.0,"good work-life balance, paying well, well-being days, good values",slow to make decisions and move. management by committee,Be the first to find this review helpful
526,"Great job, but it's a grind.",,4.0,"Great company values, great brand in the market.","Deeply technical, which involves many SMEs leading to complex sales cycles.",Be the first to find this review helpful
527,Great place to work,,4.0,"- Great company culture, Salesforce is very big on philanthropy and brining diversity to the workforce - Collaborative team environment - Great benefits - Great work/life balance",- Large company may be hard to get recognized for work - Currently lots of attrition with new recent acquisitions,Be the first to find this review helpful
528,"Lowest paid ORG, zero advocacy, little opportunity to move up",,1.0,"Salesforce's leadership is very smart, the company is growing quickly, health insurance is great, benefits are outstanding, snacks/food are a plus.","I believe that the REWS leadership is very much lacking. We are forced to baby REWS leadership like royalty to ""show off our hospitality skills"" but don't give the same treatment to even our most exclusive customers. I'm talking Starbucks three times a day with multiple drink options, extravagant catering setups with ridiculous dietary restrictions/preferences, gifts in the hundreds and hundreds of dollars for each exec for each visit, flowers and local fare being supplied in their hotel rooms, etc. These folks live like rockstars on the road. When COVID first started, we had front desk personnel crying because they were forced to stay at the desk. This same org was the first forced to come back into the office. Guidelines were set that everyone were to come back, no exceptions. Yet, we were finding out that exceptions were being made in other offices (unfair). The REWS leadership outwardly encourages employees to look for jobs outside of the org because, although they won't say it, there is no opportunity within it. When promotions or openings upward come available, they are given to those outside the company. The REWS team is the lowest paid org in the company and is treated like a cog in the machine. Very few people feel empowered to advocate for themselves or their teams. I can't remember the last time my team had a team-building, let alone a team-wide meeting. Managers only care about making sure they are seen in a good light for execs.",4 people found this review helpful
529,Great Company,,5.0,Great company to be working for,There are no cons thus far,1 person found this review helpful
530,Great company,,5.0,Great company with tremendous vision and opportunity.,Very competitive and high-stress environment.,1 person found this review helpful
531,Best place to work!,,5.0,Salesforce has an amazing culture and really cares about its customers and employees.,There are cons to working at Salesforce.,1 person found this review helpful
532,,,4.0,"good work life balance, friendly culture.","not much career growth, low efficiency due to tech frameworks .",Be the first to find this review helpful
533,"All about politics, not performance",,2.0,good pay and benefits...they try to build a culture but with 80k employees it doesnt always work,"learn how to network, otherwise your career is stagnant",3 people found this review helpful
534,Culture,,1.0,"Great products, Sound engineering team","Culture too political, all based on who you know",4 people found this review helpful
535,Great company,"Mar 9, 2022 - Anonymous Employee",5.0,It's a great working environment; competitive pay and transformational products,Pay does not always align well with the long sales cycles associated with more complex solutions,1 person found this review helpful
536,Best Company I Have Worked For,"Mar 9, 2022 - Solution Engineer",5.0,Great Pay Great Benefits Great Team Atmosphere,None at all. This company is great.,1 person found this review helpful
537,Salesforce #1 CRM,"Mar 9, 2022 - Senior Manager IT in San Antonio, TX",5.0,"Great company to work for...customer centric growth, employee friendly, great compensation and benefits",Nothing at the moment that I am aware of,1 person found this review helpful
538,Outstanding Onboarding Experience,"Mar 2, 2022 - Senior Solutions Engineer in Austin, TX",5.0,"I started at Salesforce about six months ago as a fully remote employee. One of the most challenging things with any new job is getting ramped up to perform to the best of your abilities. Salesforce has blown away any preconceived notions I had of what an onboarding experience should be like. From providing me a coach during the interview process to that I am presenting the best version of myself and my skill set to an thoughtfully laid out onboard plan. I do understand that I may have a different experience than others because each department also controls a large portion of onboarding. However, I don't know of another company that spends 3-6 months ramping you in all the relevant areas you need to be successful at your job. Afterall, my success is ultimately the company's success. Additionally, I was paired with both a mentor who had been in the job for some time (12+ months) and a buddy who was only a few months ahead of me and can still remember all the struggles and challenges.","In regards to the onboarding experience, I have absolutely none. I have never felt more cared for or empowered to be successful than I have here.",3 people found this review helpful
540,Best company I've worked for in 30 years,"Mar 12, 2022 - Senior Manager",5.0,"Diversity, openness, social impact, friendliness and start up mentality","Still a large corporation with shareholders to appease, so not completely able to be a start up",Be the first to find this review helpful
541,A great move for my mental health,"Mar 12, 2022 - Senior Solution Engineer",5.0,I joined Salesforce 8 months ago and could not be happier that I made a career pivot. The culture is both collaborative and inclusive! The sales organization also has an energy that makes work a lot of fun! Working for Salesforce (Marketing cloud) has improved my mental health tremendously!,Be prepared to work hard and step up to the plate (but know you will have so much fun along the way!),Be the first to find this review helpful
543,Salesforce has the best work life balance,"Mar 8, 2022 - SMB Account Executive",5.0,work life balance is good,"sometimes fast, sometimes slow. thats sales for ya",1 person found this review helpful
544,Great / innovative,"Mar 11, 2022 - Sales Director",5.0,Seen as an innovator which sells high quality products.,Lot of acquired companies make sales process / biz management complex sometimes.,Be the first to find this review helpful
545,Great company to work for,"Mar 15, 2022 - Account Director in New York, NY",5.0,"great values, culture, existing work, great quality of people, benefits, salary","work life balance, work hours",Be the first to find this review helpful
546,Great place to work,"Mar 12, 2022 - Senior Software Engineer in Seattle, WA",5.0,Good work life balance and benefits,Management is totally disconnected so things are often chaotic,1 person found this review helpful
547,Great place to work,"Mar 11, 2022 - Anonymous Employee",5.0,Surrounded by highly talented people and thriving in an uplifting team culture.,It's becoming a really big organization. Maybe too big?,Be the first to find this review helpful
548,Great place to work,"Mar 10, 2022 - AE Marketing CLoud in Chicago, IL",5.0,You will learn more here at an unparalleled pace than potentially anywhere else,Don't apply if you aren't willing to work hard.,Be the first to find this review helpful
549,Awesome,"Mar 24, 2022 - Senior Manager",5.0,Work culture Salary Benefits Great place to work,No cons as such. N/a,Be the first to find this review helpful
550,Ok,"May 12, 2022 - Account Executive in Indianapolis, IN",3.0,My manager is a great manager,Can be rather stressful most of the time,Be the first to find this review helpful
551,Great place to work,"May 10, 2022 - Business Analyst in San Francisco, CA",4.0,lots of amazing benefits for full-time employees,some promotion issues between teams,Be the first to find this review helpful
552,Amazing Company,"Feb 28, 2022 - Senior Analyst in Atlanta, GA",5.0,"Salesforce is a terrific company. Work/life balance is a real thing here, and the benefits are pretty amazing. I feel super lucky to work here.",None that I can think of,Be the first to find this review helpful
553,Not all it's cracked up to be,,3.0,"-Compensation & Benefits package is unmatched -WLB is great -Facilities, tech, corp card, all runs very smooth","If you come in as a new sales rep you are going to get stuck in a terrible territory. Everyone knows that new comers have to generate business off the worst accounts, if you can make something out of nothing you can land in a great territory and this could be a rewarding job. If you land in a bad territory there's nothing you can do - all territories are set for 12 months. I'm on a team of 5-9 AEs and we have one SDR for support. At a world class sales org, you'd think you'd have more support to generate meetings and interest. Lots of cooks in the kitchen on every deal. You have Core CRM, Slack, Tableau, MuleSoft, Service Cloud, Experience Cloud and Marketing Cloud AEs on each account...",6 people found this review helpful
554,I love salesforce!!,,5.0,"The culture here is the best part, everyone is kind and uplifting.",Pay could be slightly better but still very happy,Be the first to find this review helpful
555,Salesforce Program Manager,,4.0,Phenomenal work culture. Work-life balance,Lesser pay as compared to the market,Be the first to find this review helpful
556,I liked them better when I was a customer,,2.0,"It looks great on a resume, plus I made all kinds of connections and learned a lot while I was there. Awesome benefits and resources.","Huge disconnect between who they are and who they say they are, especially within the employee team. I only met a few people who actually knew what the Salesforce platform was, how it was used for different verticals and what the benefits were for customers. Trying to to use the product internally was a comedy of errors. No one understands how it works or how to use it. Too many siloes, even the siloes have siloes. 1200 tiles on okta, are you kidding? Lots of politics and backstabbing. Many problems caused or perpetuated by the very people who say they are trying to fix it. Leadership was more cliquey than high school. From what I saw the opportunity for advancement comes down to who your manager is, but sadly there are a lot of managers who are not qualified at all and are simply afraid of talent.",3 people found this review helpful
557,Very happy,,5.0,"Treats employees well, lots of opportunity",Corporate red tape to navigate,Be the first to find this review helpful
558,Great Flexibility,,4.0,* Flexible work hours * Manageable work load * Good opportunities for career advancement,* Politics between different internal organizations often impedes progress / ability to work effectively,Be the first to find this review helpful
559,Great Company,,5.0,"Intelligent engineers, capable leadership, excellent growth opportunities",Tech stack needs to be updated,Be the first to find this review helpful
560,Saleseforce,,4.0,"Benefits, people, flex work ennvironment","Lack of mobility, politics, lots of red tape",Be the first to find this review helpful
561,A great place to work that burns out employees,,3.0,"Every position at Salesforce will be a different experience, who you work for matters a lot, and what you sell will impact your experience. That being said, if you're in Sales at Salesforce, you are fuelling the rocketship growth and that isn't always the most enjoyable experience. Let's start with the good: Great benefits, mostly great products, the pay is competitive (although reps are leaving for better pay more frequently), there is plenty of company culture kool-aid, and you can make pretty good commissions if you hit accelerators with the right accounts. Salesforce looks good on a resume, and if you don't like where you land at first, there is plenty of lateral flexibility within the company.","The not-so-great: Salesforce is focused on growth and that means squeezing every penny out of its customers. To do this, they put a lot of sales reps into small territories. Sales reps are tasked with selling with big quotas and small territories. On the aggregate, Salesforce does well but individually it is becoming more and more difficult to hit quota. Less than 30% of Account Executives (AEs) actually hit their number if that tells you anything. Further, the resources around AEs internally are becoming more of an obstacle than a benefit. The hardest part of this job is getting others internally to do their jobs. If you raise your concerns, someone will hear you and then nothing will get done. You will just be making excuses. There are a lot of great sales professionals at Salesforce. However, with smaller territories, the good AEs are leaving. The newbies who are still learning are the ones trying to sell to customers. Customers complain about the constant churn of account teams. One of the top complaints is employee burnout and nothing seems to be done about it.",7 people found this review helpful
562,"Thoughtful, comfortable and detailed onboarding plan that sets you up for success",,5.0,"- Structured training plan - Real world onboarding examples that set you up for success - Honest feedback and positive encouragement - Focus on ""better better never best"" allows you to improve at every stage of the journey - Support from managers to make mistakes and learn without being micro managed - Feel empowered to help clients solve business problems in every department",- Felt like we missed out on some product training during the onboarding BUT Salesforce offers such a wide variety of products for us to help solve our clients needs if we did deep dive training on each it would be years before we got in front of clients and learning in the real world,Be the first to find this review helpful
563,Awesome company with amazing benefits,,5.0,Great team environment Great benefits Room for growth Great leadership,Base Pay could be better,Be the first to find this review helpful
564,Close to perfect,,4.0,Great benefits. Great people. Great culture.,Only criticism is the regionally-based pay when location is no longer a requirement of the job. Creates unfairness among employees doing the same work.,Be the first to find this review helpful
565,Engineering Manager at Salesforce,,4.0,"Salesforce has a great culture of trust, transparency and inclusion. As a technical engineering manager I get to be involved in the technical decisions and able to coach my team. Lots of tools available to mentor and track the teams progress. Great place to work.",Ever changing direction and can value engineering more.,Be the first to find this review helpful
566,Great Company,,4.0,Get to work on newer things Great benefits Work life balance,"This would there in any big company, its the politics and misalignment in a few departments.",Be the first to find this review helpful
567,Great Benefits & Salary,,5.0,"Great Benefits, lots of internal people to connect with, great opportunity for entry -level folks","Slow moving growth pace, and often monotonous work",Be the first to find this review helpful
568,"Awesome vibe, awesome place",,5.0,* Good pay and benefits * Growth opportunity * Challenging work * Awesome teamwork culture,* Can get lost in the vast universe of the company * Managers are slowly being overwhelmed by their personal quotas and increasing amount of people they need to lead,Be the first to find this review helpful
569,"Learn, Execute and Deliver",,5.0,"1. Top-Notch work culture 2. Great benefits and perks 3. Lot of internal employees to connect with, products to learn and programs to get certified to create a brand for yourself 4. Best workplace for entry-level roles to ramp up into professionals 5. Awesome Leadership (At least what I have experienced till now) 6. Lot of career opportunities and room to grow","Nothing as of now, seriously!",Be the first to find this review helpful
570,great,,5.0,"Tons of resources, good support","Almost too many resources, a lot to learn and manage",Be the first to find this review helpful
571,Great place to work,,5.0,"Work & life balence, salary, benefits, PTO","Super high expectations, work at a high level or your out",Be the first to find this review helpful
572,Love Salesforce,,5.0,"Culture, benefits, coworkers, compensation, remote work does not hinder career opportunities","Growth pains, navigating the org is a whole skill that takes years to learn",Be the first to find this review helpful
573,Amazing culture,"Jul 18, 2022 - Vice President in New York, NY",5.0,"Ethical, mission-driven, diversity, commitment to software excellence.",fast growth. SF centric. hard to qualify long term value.,Be the first to find this review helpful
575,"Good benefits, toxic culture and environment","Jul 5, 2022 - Account Executive in New York, NY",3.0,- Great benefits - Good solutions engineers - A ton of resources,"- Quota attainment across the board is not as high as management made it seem when interviewing - A ton of co-selling. Different teams have their own solution they are trying to push, therefore co-selling can be difficult and you're typically dealing with reps a lot less tenured - Diversity- shocked at how little diversity there is especially in sales - Culture is so political it's toxic",5 people found this review helpful
576,Some teams are brutal,"Aug 4, 2022 - Principal Member of Technical Staff",4.0,Overall Salesforce is a good company,Some teams are very competitive and you have to deal with strong personalities,Be the first to find this review helpful
577,Great training hard quota,"Aug 3, 2022 - Business Development Representative in New York, NY",4.0,"Great company, training, benefits and sales culture. Sales first org",Hard quotas and excessive input expectations. Time in seat.,1 person found this review helpful
578,Great Company,"Jul 20, 2022 - Member of Technical Staff(MTS) in Seattle, WA",5.0,- good pay - interesting work - good benefits,- pay could. be higher,Be the first to find this review helpful
579,Awesome company with amazing benefits,"Jul 12, 2022 - Platform Account Executive in Los Angeles, CA",5.0,Great team environment Great benefits Room for growth Great leadership,Base Pay could be better,Be the first to find this review helpful
580,Engineering Manager at Salesforce,"Jul 26, 2022 - Senior Engineering Manager",4.0,"Salesforce has a great culture of trust, transparency and inclusion. As a technical engineering manager I get to be involved in the technical decisions and able to coach my team. Lots of tools available to mentor and track the teams progress. Great place to work.",Ever changing direction and can value engineering more.,Be the first to find this review helpful
581,Great Work Life Balance,"Jun 13, 2022 - Lead Member of Technical Staff",5.0,Salesforce is a great place to work if you’re looking for work life balance! You’re encouraged to prioritize mental health and well-being in general. They’re flexible about remote work and if you need to work weird hours due to child care etc. This probably varies a bit from team to team but generally they really encourage employees to be humans first.,"Salesforce is a big company that has been around for a while and with that comes less agility and more fixing tech debt, etc.",Be the first to find this review helpful
582,I really like it here.,"Mar 29, 2022 - Support Engineer in Hillsboro, OR",5.0,"This is my 6 months of employment review. I am surrounded by strong women who are amazing team Leaders and workers. Management is fair and cares a lot. I'm not the best employee. I would consider myself incredibly average. I do feel that this is the first time in my career that my skills are accurately rated. I am given the opportunity to as they say ""level up"" with very detailed one on ones. This model only works for those who want to be better engineers and customer service agents. I never feel as if my caseload is too much. in fact, I have the free time to help my team reach resolutions and educate myself on my product. I really hope to retire here Before this, I owned my own business, and before that, I was a contract IT. I rather eat a whole brick house than work at any other company.","I'm pretty sad only 50,000 people get to have the joy to work here. I am honored to be one of them.",Be the first to find this review helpful
583,"Amazing experience, fantastic company","Jun 6, 2022 - Lead Member of Technical Staff in San Francisco, CA",5.0,"Salesforce has a really solid business model, with a subscription-based approach to software that was revolutionary when it was first introduced 23 years ago. This subscription-based approach means that ongoing revenue can be relied on, for all customers that remain with the company. Since the attrition, or the loss of customers, is very low, this means that the cash flow for this business is very reliable and predictable over the long term. The company really strives to gain the trust and to ensure that customers are successful. These happy customers then become highly referenceable, and recommend our solution for others. Our product has become such a vital part of their business that it is also very sticky over the long term. As our company continues to acquire new capabilities, our solution becomes even more enticing and relevant, since we can address and integrate a broad cross-section of the needs of each of our customers (Marketing, Sales, Commerce, Service, Analytics). We deliver a comprehensive enterprise software solution, which is cohesive and integrated in ways that no other company can provide. In addition to this, we constantly think of ways to innovate and make our customers lives easier. We are able to digitize and improve the efficiency of a broad cross-section of enterprises out there who do not focus on digital solutions as their core business. All of these factors together represent a very strong opportunity for continued growth of this business. Salesforce has also been executing really well on surmounting many of the more difficult technical challenges that they faced due to the fact that the product is based on legacy code. There is technical debt related to the database, also there is a major migration underway to move to the public cloud. The company has executed incredibly well on these and many other challenges internally. The culture is incomparable. The leadership of the company have a genuine concern for each employee, and a real investment in doing the right thing for the community. The company takes a leading role in helping to champion initiatives that address homelessness and environmental issues for example. We also are really committed to the success of all of our stakeholders, including employees, customers, partners, communities, and all of the trailblazers who form the broader salesforce community. The ecosystem of administrators, architects and developers who are part of our space has continued to grow, and the company is also really proactive in helping to develop the skills of those people that might be interested in growing a career with our products.","There are not many downsides. The culture is really open and accepting. They are very accommodating to the needs of their employees, and they earn a significant degree of loyalty in return. Because this is such a great company, many people are willing to go the extra mile to keep this good thing going. There may be some mild challenges in terms of managing the culture internally, and ensuring that every group feels included, and part of the Salesforce family. Still, our leader ship clearly spends a lot of time focusing on the correct approach here, and ensuring that there are enough opportunities for people to connect with like minded coworkers, and to ensure that they are recognized and appreciated.",Be the first to find this review helpful
584,"Going downhill, goodbye aloha!","Jul 11, 2022 - SMTS Engineer",4.0,"Actually, doesn't aloha mean hello && goodbye? So I had a great job, and then covid happened and they moved me to a random team. Had nothing to do with my skills, then I moved to another team with a toxic manager and got Pipped. Goodbye cruel world","Pipping people instead of investigating your lame ex-Microsoft managers. He's old ay eff Diversity oriented everything makes us regular people feel pretty unloved, considering were mostly the ones doing everything?",1 person found this review helpful
585,Customer Service or Sales?,"Aug 1, 2022 - Strategic Account Executive",3.0,"Great benefits, resources, people, and place to live on your salary if that's what you're looking for",Most of the job is customer service which detracts from owning a sales process,Be the first to find this review helpful
586,Security,"Jul 20, 2022 - Pse",5.0,work life balance is Good,Unfair promotion and politics in orgs,Be the first to find this review helpful
587,Great Benefits - Terrible Technical Environment,"Jul 7, 2022 - Senior Software Engineer in Raleigh, NC",2.0,* Great Pay * Great Benefits * Entire technical side of the company prioritizes health and wellbeing,"* Tech stack is miserable * New first-party technologies re-invent the wheel at every step of the way, create bottlenecks for getting work out the door * Corporate bureaucracy completely blocks any kind if innovation or forward progress * Literally more than 80% of development time is spent doing some form of required ""paperwork"" before being able to complete the actual development work at hand",4 people found this review helpful
588,A great place,"Jul 19, 2022 - Project Manager in Boston, MA",5.0,"doing good, job security, stable",could go for free lunches,Be the first to find this review helpful
589,"Low Pay, Low morale, High attrition","Jun 29, 2022 - Senior Recruiter",1.0,Wellness days every month and the benefits are pretty good. Most of the people are nice to work with.,"The pay is a joke here. It doesn’t matter how good you are. There is nepotism going on and you can’t get promoted unless you leave the company and come back. I liked it when I started but the pay is too low, it’s not worth it anymore. Management doesn’t care. You can have solid data showing you are more than capable of people in higher levels than you, and they always come back with answers that are all fluff.",4 people found this review helpful
590,Overall Amazing Company,"May 18, 2022 - Senior Team Lead in Indianapolis, IN",5.0,"The company, in general, is all it's hyped to be. Some incredibly talented people, great leaders, amazing work being done. Top leaders really do focus on Values and Doing Good. Workplace is incredible, countless benefits, some really amazing people.","For all the talk of ""beginners mind,"" the bottom ranks are ignored when it comes to innovation. They are expected to keep the Company brand as-is. Also, for all the amazing things this company does, there are a fair share of employees who are entitled and more interested what more their company can give them instead of doing good work.",Be the first to find this review helpful
591,BDR,"Aug 4, 2022 - Account Executive",2.0,Office is so nice in person,"Management turnover, management help due to this",Be the first to find this review helpful
592,Culture from the Top Down,"Jul 7, 2022 - Customer Escalation Manager",5.0,"The Salesforce Culture is enabled from the top down, not just messaged, to allow employees to support one another and help each other grow.",Lots of change which you have to like.,Be the first to find this review helpful
593,Great Company,,5.0,Work-Life Balance. Great pay. Great people working together.,The company is so big that they cannot take care of every employee.,Be the first to find this review helpful
594,Better than I even expected!!,,5.0,"- Leadership is transparent about the company as well as what is going on in the markets they serve - The company really cares out their employees wellbeing and how to advance career growth - The amount of opportunities, training and development is like nothing I have experienced before","- Larger company means more political challenges and needing to get alignment from lots of stakeholders before decisions can be made, which slows down the process",Be the first to find this review helpful
595,Good place to work,,4.0,"- benefits - work from anywhere, remote - company values",- very large - compensation - equity refresh is uncommon,Be the first to find this review helpful
596,Incredible place to work,,5.0,"I have been at Salesforce for 6 months, and I can't say anything negative about it. I am in the TMP organization, and our leadership, colleagues, teamwork, partnership, transparency and collaboration isa top notch. I work with so many incredibly intelligent people. I feel lucky to be here.","I truly can't name any. I will say that the level of work on a worldwide scale (timezone differences, working well async, and ensuring we avoid late hours for colleagues outside of the U.S. may be challenging, but they are actively being worked on).",Be the first to find this review helpful
597,So happy to be at a company that cares,,5.0,I love working at Salesforce because I genuinely feel like everyone cares about each other's well being. Everyone is so support and willing to make time to meet with you. They support a strong work-life balance as well. I love that they do wellness fridays where we get one Friday a month off!,There is a high workload and the company moves fast (these are both good and bad). Also being fully virtually and never having met my team in person it can be hard to form a tight connection and really make friends in the workplace.,Be the first to find this review helpful
598,Great Culture,,5.0,Top line colleagues Great mentors,None that I have experienced first hand,Be the first to find this review helpful
599,Great place to work,,5.0,Work-life-balance Team culture Creativity Talent Interesting work if you like events,Transparency of promotions Compensation compared to other big tech jobs Niche roles (similar to any big tech) Lots of pivots Reorgs,Be the first to find this review helpful
600,Good place,,5.0,"Life balance work, good culture","Growing slow, salary not same with big t company",Be the first to find this review helpful
601,Good company to work for,,5.0,They have very good benefits,Bad work/life balance Too much bureaucracy,Be the first to find this review helpful
602,Loved it!,,5.0,"Culture is great, wellness days",Big tech can be slow moving,Be the first to find this review helpful
603,good,,4.0,a good place to work.,pressure will be high when we don't get a good manager,Be the first to find this review helpful
604,Toxic,,3.0,You get 56 hours for volunteering,Horrible management teams. They lack basic managerial skills.,1 person found this review helpful
605,Great benefits,,4.0,Company has great benefits and competitive pay,There is a lot of organizational change,Be the first to find this review helpful
606,What you'd expect,,4.0,"Great office, stability, work life balance. An extremely low stress job with fair comp.",Some poor management. Lots of attrition. The work's not particularly interesting and the developer experience of working on platform is painful at times,Be the first to find this review helpful
607,Great company,,4.0,"Great company culture, outstanding CEO/CEO","Very political, flattening growth, limited career opportunities outside of Sales or Engineering",1 person found this review helpful
608,Leadership culture isn't great,,3.0,Industry leader Attracts great engineers,Management culture approaching toxic territory,2 people found this review helpful
609,Nice company,,3.0,"Lot's of opportunity, good employee perks and good mission",Rapid growth has caused ill equipped managers to promote too quickly and this has damaged the culture.,Be the first to find this review helpful
610,"Good people, some shady management",,4.0,Great benefits! And they hire amazing people.,Work is challenging. Some unrealistic expectations and pay is low. People that were promised a promotion in 15 months are still waiting 24 months later.,1 person found this review helpful
